author,updated_at,like_count,comments,public
@ninagarcia1578,2023-10-26T13:22:31Z,0,Man such a huge fan. Really blown about the Baltimore show getting rescheduled from July to October and then getting canceled this week :(,True
@dporras84,2023-10-26T13:02:28Z,1,Clovis should have his own channel!!,True
@ch4rlyb0y,2023-10-26T12:53:11Z,0,Oï! ^w^,True
@mauricerey6263,2023-10-26T12:37:01Z,0,this is the kinda stuff we need Amen,True
@paolozeph,2023-10-26T11:45:29Z,3,Early June is expensive af. It's a tourist restaurant. None of the parisians are gathering here.,True
@edwins.9609,2023-10-26T11:02:22Z,0,Please do Tokyo!!!,True
@lukasarnold5368,2023-10-26T11:02:02Z,0,The wait has finally come to an end! Those Bronson in Paris Season 1 Videos are part of my core memory,True
@lordlux75,2023-10-26T10:51:16Z,0,"Venir à Paris pour boire du vin espagnol et manger de la world-fusion-bobo-mayo-food dans le 10e... Les palais de doberman, ce fléau !",True
@gabkmemes748,2023-10-26T10:28:56Z,0,why is the cigarette censored?,True
@BravoJohn790,2023-10-26T10:20:35Z,0,Loving this guy!!!,True
@Schulerr,2023-10-26T10:03:38Z,0,Halleluyah !🙏 On l'attendait !,True
@hasbulla2012,2023-10-26T08:15:41Z,0,I don’t drink wine but the won’t they drink on this channel looks unbelievably delicious,True
@patrickbaum4858,2023-10-26T08:06:43Z,0,"I waited so long for this ""retours"".",True
@lexarus79,2023-10-26T07:54:55Z,0,I swear I’m eating and tasting wine with these guys ! I wish I was eating and tasting wine with these guys !,True
@bcv864,2023-10-26T07:40:20Z,0,I really like to watch how you enjoy your life.,True
@marnixmarquez5633,2023-10-26T07:13:34Z,0,"That’s it? We better have part 3,4,5",True
@halbehahn030,2023-10-26T05:55:19Z,0,The Dreamteam is back!,True
@randyschwaggins,2023-10-26T05:52:41Z,0,Clovis is the sophisticated French cousin of Super Hans from Peep Show,True
@fredonitch8761,2023-10-26T04:46:59Z,1,Action is the only American who knows how to hold a glass of wine in his hand.,True
@audrey20061,2023-10-26T04:07:08Z,0,Over the years clovis went from looking like a functioning alcoholic to being a functioning alcoholic lol,True
@blahblahh7249,2023-10-26T03:40:17Z,1,why action and dj khalid talk like they are talking first time,True
@mmacb06,2023-10-26T02:12:53Z,0,We love DBOOK. Let’s go SUNS!!! Size 10 Men’s.,True
@nosaj9167,2023-10-26T01:21:22Z,0,So you brought the bed bugs lzzzzzzzz,True
@Wayta39,2023-10-26T01:15:31Z,0,From Paris with live part deux.............. Episode 1 lol,True
@weedrburnsbridges,2023-10-26T00:46:02Z,0,Love these. But ayo I just be waiting for body to pop out and he don't! 😢,True
@brianpeterson5516,2023-10-26T00:45:49Z,0,Clovis is the ultimate mushroom guide.,True
@dharker7595,2023-10-25T23:55:35Z,0,Clovis and your fine self need to do your take on parts unknown.. the two of you travelling together would be extraordinary.,True
@alexm.gamboa454,2023-10-25T23:34:49Z,0,I fucking love paris❤,True
@jasonbrophy7921,2023-10-25T23:30:04Z,0,I’m here for Clovis,True
@principe7612,2023-10-25T23:13:39Z,0,Waiting Years for This!!! Keep em Coming,True
@ebrooke4632,2023-10-25T22:58:40Z,0,I’m in Paris now. Food in Paris is naaaaaaaaasty!,True
@CruxalYT,2023-10-25T22:46:02Z,6,Mannnn to think of how much LIFE I've lived since the first part of this glorious video 6 years ago! The first time we met the legend Clovis! This was an absolute treat thanks for continuing to be the best in this food / travel game!,True
@Lpm920,2023-10-25T22:45:21Z,0,Bronson. Come to Chicago.   I’ll show you how to bust out….  It’s hanging out South Side of Chicago in the 90s….There’s a certain way only neighborhood guys know how to do…,True
@Lpm920,2023-10-25T22:40:02Z,1,Don’t get it twisted.  They love Americans in Paris. Just be confident….,True
@biluclan3078,2023-10-25T22:18:43Z,0,I love this!,True
@dif7051,2023-10-25T22:13:49Z,0,trop bien la partie 2 lets gooo,True
@ARTOFFICIVL,2023-10-25T22:08:59Z,0,anybody in the comments wanna have a talk about that three ingredients chicken orrr....,True
@iamike8568,2023-10-25T21:50:20Z,0,“There’s no such thing as time”,True
@gorlami1,2023-10-25T21:48:04Z,0,PART DEUX? WITH 3 years apart?!!!!!!! MAN YOU OWE US A 10 PART SERIES WITH THE SHAMAN CLOVIS IN THE EXTRAORDINARY PARIS,True
@ImStuckInStockton,2023-10-25T21:45:46Z,0,That girl was smuggling some serious raisins,True
@One11ceo,2023-10-25T21:27:40Z,1,God I hope he does a pop up like he normally does in philly this weekend. Also would love an Action wine list/blog,True
@Alexis_Silva83,2023-10-25T20:39:08Z,0,U know ma boy knows his food when that pinky goes up! 🤣🤣🤣,True
@TheJaytotheBee,2023-10-25T20:31:53Z,1,"Bro this series is insane, this is too good.",True
@cheft1234,2023-10-25T20:27:53Z,0,Clatissss,True
@AZGMS,2023-10-25T20:13:43Z,0,Ah man I just got back from Paris last month.. this shit got me depressed. All we did is eat and drink like this. Now I’m eating a sandwich at my fuckin desk at work lol,True
@jez443,2023-10-25T20:03:58Z,2,Clovis and Action Bronson what an iconic duo. Ya'll should just do a world travel show.,True
@wizkidjosh,2023-10-25T20:03:16Z,0,this is life as it should be,True
@mathewsnook3803,2023-10-25T20:02:50Z,0,"Just rich parisians doing rich rich Parisian shit , basically a lesser Floyd in Paris",True
@elfamoso3805,2023-10-25T19:50:07Z,0,Please go home.,True
@klausmayer8770,2023-10-25T19:22:30Z,1,Come to Berlin!,True
@fuckstamford3639,2023-10-25T19:19:14Z,0,did they blur his cig?,True
@DavidAlxnder,2023-10-25T19:06:03Z,0,"All I really care about is hanging out, too.",True
@ardzuks,2023-10-25T19:05:40Z,1,sztos ! Kucharz z Polski😮,True
@chickenbiscuitbabyyewww9580,2023-10-25T19:02:28Z,0,You know Bronson being the specimen of excellence he is probably had those French sistas feeling like he was their Prince Charming,True
@smarc1325,2023-10-25T18:48:32Z,0,LOL Feeding those BedBugs Action...   Wonderfull Choice these Days.....,True
@JP-rv6hg,2023-10-25T18:47:17Z,0,I’ve been waiting years for Part Deux!,True
@pedroathaydemendoza3903,2023-10-25T18:46:51Z,0,Best video,True
